Rank,Country,GDP,% Share,Continent
1,United States,18125,23.45,North America
2,China,11212,14.50,Asia
3,Japan,4210,5.45,Asia
4,Germany,3413,4.42,Europe
5,United Kingdom,2853,3.69,Europe
6,France,2470,3.19,Europe
7,India,2308,2.99,Asia
8,Brazil,1904,2.46,South America
9,Italy,1843,2.38,Europe
10,Canada,1615,2.09,North America
11,Korea,1435,1.86,Asia
12,Australia,1252,1.62,Oceania
13,Mexico,1232,1.59,North America
14,Spain,1230,1.59,Europe
15,Russia,1176,1.52,Europe
16,Indonesia,896,1.16,Asia
17,Turkey,753,0.97,Asia
18,Netherlands,749,0.97,Europe
19,Switzerland,688,0.89,Europe
20,Saudi Arabia,649,0.84,Asia
21,Argentina,563,0.73,South America
22,Taiwan Province of China,528,0.68,Asia
23,Nigeria,515,0.67,Africa
24,Poland,491,0.64,Europe
25,Sweden,487,0.63,Europe
26,Belgium,464,0.60,Europe
27,Norway,421,0.54,Europe
28,Islamic Republic of Iran,393,0.51,Asia
29,Thailand,386,0.50,Asia
30,Austria,381,0.49,Europe
31,United Arab Emirates,364,0.47,Asia
32,Colombia,332,0.43,South America
33,Malaysia,328,0.42,Asia
34,South Africa,324,0.42,Africa
35,Hong Kong SAR,310,0.40,Asia
36,Philippines,308,0.40,Asia
37,Israel,307,0.40,Asia
38,Denmark,297,0.38,Europe
39,Singapore,296,0.38,Asia
40,Chile,250,0.32,South America
41,Finland,235,0.30,Europe
42,Ireland,220,0.28,Europe
43,Greece,207,0.27,Europe
44,Bangladesh,205,0.27,Asia
45,Vietnam,204,0.26,Asia
46,Kazakhstan,203,0.26,Asia
47,Portugal,201,0.26,Europe
48,Qatar,197,0.25,Asia
49,New Zealand,192,0.25,Oceania
50,Peru,190,0.25,South America
